"scenario","model","Mutation_Rates1","Mutation_Rates2","Mutation_Rates3","Mutation_Rates4","Mutation_Rates5","W.T.Parameters1","W.T.Parameters2","W.T.Parameters3","W.T.Parameters4","W.T.Parameters5","Sexual_Effects1","Sexual_Effects2","Sexual_Effects3","Sexual_Effects4","Sexual_Effects5","Costs1","Costs2","Costs3","Costs4","Costs5","Efficacies1","Efficacies2","Efficacies3","Efficacies4","Efficacies5","Control_Effects1","Control_Effects2","Control_Effects3","Control_Effects4","Control_Effects5","Fungicide_1","Fungicide_2","Fungicide_3","Fungicide_4","Fungicide_5","Num_fung","Lethality","Selfishness","Fecundity_Inhibition","Infection_Inhibition","Growth_Inhibition","Sex_Inhibition","Survival_Inhibition","Inoculum","GeneDrive_1","GeneDrive_2","GeneDrive_3","GeneDrive_4","GeneDrive_5","Num_drive","Infection_Yield","Number_of_Generations","pre_yield","peak_yield","yield_40","yield_50","mean_21_40","mean_41_50","mean_21_50","Freq20_A","Freq20_B","Freq20_C","Freq20_D","Freq20_E","Freq20_F","Freq40_A","Freq40_B","Freq40_C","Freq40_D","Freq40_E","Freq40_F","Freq50_A","Freq50_B","Freq50_C","Freq50_D","Freq50_E","Freq50_F"
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,1,0.587477346578267,0.843641836971014,0.490698856750235,0.491259165120946,0.489702448711946,0.491032747793067,0.490145881738986,0.963975241682664,0.975509916950707,0.96455433007329,0.946174440215223,0.965714723658829,1,0.950710544904333,0.972073860726427,0.951492107774469,0.895766503606106,0.953059333665844,1,0.947799799504945,0.971751012795627,0.948625017509129,0.872741004704494,0.950280039935499,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,2,0.531615335540839,0.6028260191276,0.526409252744866,0.526619993890599,0.525969325875196,0.526535724013296,0.526158125254563,0.95256056670363,0.975965542978709,0.967216439418587,0.929553255921464,0.954825385462797,1,0.935424807324332,0.974700752824856,0.962670236027118,0.866098355304892,0.938454852470115,1,0.931697801743527,0.974653025262933,0.962244603742188,0.837979581667984,0.934890555747867,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,3,0.53720152333398,0.538210447801557,0.538948414347008,0.539083246179889,0.538682640366679,0.539028796654803,0.538798025796054,0.941432781595458,0.976650074423489,0.969691502211763,0.91355142788017,0.944197733338734,1,0.920690162897644,0.976187996776383,0.968110273310002,0.838655491832646,0.924355687849042,1,0.916222089607393,0.976181268652309,0.968050751550938,0.806462236677188,0.920076192648497,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,4,0.544063888267292,0.544817674908305,0.545349745721107,0.545454508391197,0.545153101826585,0.545412039775731,0.5452394144763,0.930586004344361,0.977275702995779,0.97164172902009,0.89814591316094,0.933827037641058,1,0.906493425401657,0.977106329322476,0.971084469493148,0.813271213827056,0.910751487999315,1,0.901357757249615,0.977105403381504,0.971076372670524,0.777886560476222,0.905825389648372,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,5,0.54814063376644,0.548787961630391,0.549212044272141,0.549298544030846,0.549052424946862,0.5492634778464,0.549122775913374,0.920014396945839,0.977784262589411,0.97310679346661,0.883314523488813,0.923708566281857,1,0.892821082585064,0.977721847252084,0.972907554410708,0.789791279269466,0.897631440888667,1,0.887089208829554,0.977721721409946,0.972906467365064,0.751978273263937,0.89212573998582,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,6,0.551245922925872,0.556967722265826,0.551775694520203,0.551848807386247,0.551640955046332,0.551819199328085,0.551700369806917,0.90971216920066,0.978184473214084,0.974200902710129,0.869035893739342,0.913837589885342,1,0.879659355606658,0.9781613617764,0.974128808814758,0.768072976943,0.884984334863432,1,0.873400263490994,0.978161344784431,0.974128663737679,0.728488618983513,0.878964094630046,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,7,0.553967112969609,0.576467538863413,0.553583675973813,0.553647948279988,0.553478678179838,0.55362287814077,0.553526744833482,0.899673582285369,0.978498924975193,0.97502779337938,0.855289451580795,0.904209386717032,1,0.866994256555043,0.978490334634511,0.975001467257483,0.74798426816903,0.872798618008339,1,0.86027425848763,0.978490332347534,0.975001447938319,0.707191999054465,0.866326665272487,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,8,0.556557954745361,0.593146408408183,0.554215838417945,0.554742250019585,0.554982494562584,0.554974353309592,0.554979780811587,0.889892952100568,0.978748681996774,0.975664819198355,0.842055388222752,0.894819247387238,1,0.854811643731093,0.978745479860312,0.975655140711027,0.729402991882741,0.861062455861663,1,0.847694149452228,0.978745479552941,0.975655138139105,0.687883823889932,0.854199125670851,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,9,0.55974418322419,0.59628191651762,0.530898831436762,0.532233034730813,0.559058033129589,0.558574035980645,0.558896700746608,0.880364652400631,0.978950092913846,0.976166011525858,0.82931463023178,0.885662479329144,1,0.843097274422796,0.978948896709226,0.976162435562857,0.712216128452215,0.849763787137732,1,0.835642606932088,0.978948896667933,0.976162435220227,0.670378562438684,0.842566710331886,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,10,0.562276697872193,0.633774665422258,0.499729439522361,0.499821011495619,0.577248016511225,0.578988526650416,0.577828186557622,0.871083117708955,0.979115116971666,0.976568409804508,0.817048812376114,0.876734411052463,1,0.831836854949453,0.979114669381371,0.976567083647655,0.696319117967525,0.838890377158232,1,0.824102108444286,0.979114669375823,0.976567083601958,0.654507971733319,0.831414309648103,1
